target_id,score,source_id
VF-2511237819,0.9998189,1192
VF-9098396034,0.9997746,1195
VF-9506969713,0.9995841,1196
VF-2620311319,0.9998632,1198
VF-2406211430,0.99950635,1199
VF-0913980360,0.99960464,1204
VF-0161322217,0.9996337,1205
VF-7123279114,0.9998267,1206
VF-9534392553,0.9999156,1207
VF-6913630214,0.9998437,1208
VF-6496839315,0.9996783,1211
VF-7112982136,0.99986625,1213
VF-2620311315,0.996648,1214
VF-9712127129,0.9996783,1216
VF-4139874560,0.99990827,1218
VF-0462376447,0.9995841,1219
VF-6085720153,0.9993715,1220
VF-2946627163,0.9998802,1223
VF-8584906182,0.99951327,1225
VF-9854676710,0.99920815,1229
VF-9860302289,0.99990785,1231
VF-9614532847,0.99963003,1232
VF-9772562915,0.9995599,1235
VF-8171354648,0.99963015,1241
VF-5373079121,0.9997731,1242
VF-8162401231,0.99986,1243
VF-8215106951,0.99615824,1248
VF-2289157845,0.99954075,1249
VF-8252703455,0.99951327,1252
VF-9901256313,0.9995207,1253
VF-9506969753,0.99920815,1254
VF-1897269897,0.9996693,1256
VF-0138158282,0.999768,1257
VF-2470290964,0.9995497,1259
VF-6913630299,0.99960357,1261
VF-8737325586,0.9996491,1265
VF-9614532875,0.99986,1266
VF-6085720180,0.9995868,1269
VF-9911344706,0.9997437,1271
VF-1139137609,0.99731165,1277
VF-3117752900,0.99946034,1278
VF-6642356183,0.99967855,1280
VF-9848615784,0.99980956,1282
VF-2511237810,0.999724,1287
VF-0587887664,0.9998533,1288
VF-8215106938,0.99631083,1290
VF-8215106932,0.999895,1291
VF-3891214496,0.99968684,1294
VF-8346456818,0.9993715,1296
VF-9532261733,0.99972254,1300
VF-9840877398,0.9995758,1302
VF-0562594147,0.9993715,1303
VF-6981486777,0.99972075,1311
VF-3780005748,0.9996827,1314
VF-9373444129,0.9997519,1315
VF-3084665410,0.9998828,1316
VF-1288925327,0.99963015,1318
VF-8909770155,0.9998136,1320
VF-0562594189,0.99942404,1323
VF-0982172006,0.984019,1328
VF-9929789291,0.9996451,1330
VF-9614532872,0.9997316,1331
VF-2511237850,0.9994972,1336
VF-9825719620,0.9997458,1337
VF-2511237863,0.99950266,1338
VF-6828329487,0.99984765,1339
VF-8620605775,0.9998632,1340
VF-9854676797,0.99920815,1341
VF-1357919750,0.99877566,1345
VF-6263760645,0.9993155,1346
VF-7170137960,0.9998189,1349
VF-9999840816,0.9996337,1352
VF-7865602238,0.9998661,1355
VF-1357919711,0.9993194,1357
VF-6965976364,0.99946034,1358
VF-3084665473,0.99951345,1359
VF-2620311301,0.99967855,1363
VF-6263760605,0.9993155,1365
VF-0487019437,0.9998667,1367
VF-9506969793,0.9998828,1368
VF-9816055061,0.9987845,1370
VF-1078667732,0.9995982,1371
VF-8737325548,0.99981916,1373
VF-9836195481,0.99956703,1374
VF-0419814808,0.99994206,1376
VF-2620311309,0.9997883,1378
VF-9967850782,0.9996451,1380
VF-2635169534,0.9995487,1381
VF-5379796807,0.9993194,1382
VF-1323430664,0.9997762,1385
VF-9225653915,0.9978431,1391
VF-4139874564,0.9997519,1396
VF-9929789218,0.9997437,1398
VF-0913980306,0.9922081,1400
VF-7036142744,0.99974304,1404
VF-3780005753,0.99951327,1407
VF-9837460880,0.9998512,1408
VF-0562594159,0.9997351,1412
VF-9911344709,0.9996586,1413
VF-9426426942,0.9998646,1414
VF-7170137933,0.9998661,1416
VF-1357919778,0.99775434,1419
VF-7112982106,0.99941444,1423
VF-3270059932,0.8071007,1425
VF-9506969735,0.99974793,1427
VF-4053865686,0.9997458,1429
VF-6263760688,0.9997205,1430
VF-3303668204,0.9998437,1433
VF-8430469715,0.99956703,1434
VF-9854676785,0.99955106,1435
VF-1357919715,0.9997762,1437
VF-9506969719,0.99966925,1438
VF-6885434478,0.90913373,1439
VF-9957558849,0.99992776,1443
VF-7347214810,0.99984205,1447
VF-1897269819,0.99920815,1449
VF-9911344768,0.9998384,1451
VF-8777205198,0.99973345,1452
VF-8620605722,0.9991348,1453
VF-6981486791,0.9997316,1454
VF-0920068519,0.99984765,1456
VF-2620311351,0.9998632,1457
VF-8584906109,0.99984074,1458
VF-9854676770,0.9996693,1459
VF-1897269896,0.9708055,1464
VF-6263760653,0.9997205,1465
VF-4928826375,0.9997762,1467
VF-9834873409,0.99974996,1468
VF-9506969775,0.99966884,1474
VF-9294514028,0.9995758,1475
VF-1897269871,0.99990124,1478
VF-3272709336,0.99994594,1479
VF-4901448605,0.9997514,1480
VF-1386788863,0.9998463,1485
VF-7996717452,0.99991846,1488
VF-7170137966,0.9995868,1489
VF-0807638904,0.99846214,1491
VF-7560503369,0.999812,1496
VF-8909770173,0.9995837,1497
VF-2532625209,0.9993715,1500
